,idProject,nameProject,productionClass,testCase,isResourceOptimism,isResourceOptimismManual,prediction
4,24.0,hsac-fitnesse-fixtures,FileFixture,nl.hsac.fitnesse.fixture.slim.filefixturetest.testtextin,True,True,False
12,24.0,hsac-fitnesse-fixtures,CalendarUtil,nl.hsac.fitnesse.fixture.util.calendarutiltest.testaddmonths,False,False,False
19,24.0,hsac-fitnesse-fixtures,FirstNonNullHelper,nl.hsac.fitnesse.fixture.util.firstnonnullhelpertest.firstnonnullnullcollection,False,False,False
32,24.0,hsac-fitnesse-fixtures,SecretMasker,nl.hsac.fitnesse.fixture.util.secretmaskertest.testsubmap,False,False,False
41,24.0,hsac-fitnesse-fixtures,XPathCheckResult,nl.hsac.fitnesse.fixture.util.xpathcheckresulttest.testparse,False,False,False
44,24.0,hsac-fitnesse-fixtures,XPathHelper,nl.hsac.fitnesse.fixture.util.xpathhelpertest.testbadxml,False,False,False
2,24.0,hsac-fitnesse-fixtures,FileFixture,nl.hsac.fitnesse.fixture.slim.filefixturetest.testgetandsetdirectory,True,True,True
6,24.0,hsac-fitnesse-fixtures,ScriptLanguageFixture,nl.hsac.fitnesse.fixture.slim.scriptlanguagefixturetest.invokebadfunction,False,False,False
15,24.0,hsac-fitnesse-fixtures,CalendarUtil,nl.hsac.fitnesse.fixture.util.calendarutiltest.testaddyears,False,False,False
17,24.0,hsac-fitnesse-fixtures,CalendarUtil,nl.hsac.fitnesse.fixture.util.calendarutiltest.testbuildxmlgregoriancalendardatetime,False,False,False
26,24.0,hsac-fitnesse-fixtures,LambdaMetaHelper,nl.hsac.fitnesse.fixture.util.lambdametahelpertest.testgetintfromstring,False,False,False
37,24.0,hsac-fitnesse-fixtures,ThrowingFunction,nl.hsac.fitnesse.fixture.util.throwingfunctiontest.testthrowruntime,False,False,False
7,24.0,hsac-fitnesse-fixtures,ScriptLanguageFixture,nl.hsac.fitnesse.fixture.slim.scriptlanguagefixturetest.invokefunction,False,False,False
14,24.0,hsac-fitnesse-fixtures,CalendarUtil,nl.hsac.fitnesse.fixture.util.calendarutiltest.testaddmonthsintowintertime,False,False,False
24,24.0,hsac-fitnesse-fixtures,JsonHelper,nl.hsac.fitnesse.fixture.util.jsonhelpertest.testsortingonstring,False,False,False
31,24.0,hsac-fitnesse-fixtures,SecretMasker,nl.hsac.fitnesse.fixture.util.secretmaskertest.testnestedlevel,False,False,False
35,24.0,hsac-fitnesse-fixtures,ProjectDriverFactoryFactory,nl.hsac.fitnesse.fixture.util.selenium.driverfactory.projectdriverfactoryfactorytest.testfindchromedriverexecutable,True,True,True
51,24.0,hsac-fitnesse-fixtures,NumberedListConverter,nl.hsac.fitnesse.slim.converter.numberedlistconvertertest.testfromstringfilled,False,False,False
10,24.0,hsac-fitnesse-fixtures,StringFixture,nl.hsac.fitnesse.fixture.slim.stringfixturetest.testconverttouppercase,False,False,False
23,24.0,hsac-fitnesse-fixtures,HttpResponse,nl.hsac.fitnesse.fixture.util.httpresponsetest.testvalidresponseservererrorgeneric,True,False,True
25,24.0,hsac-fitnesse-fixtures,JsonPathHelper,nl.hsac.fitnesse.fixture.util.jsonpathhelpertest.testfindwithindexexp,False,False,False
27,24.0,hsac-fitnesse-fixtures,MapHelper,nl.hsac.fitnesse.fixture.util.maphelpertest.testsetvaluecreatinglist,False,False,False
45,24.0,hsac-fitnesse-fixtures,XPathHelper,nl.hsac.fitnesse.fixture.util.xpathhelpertest.testbadxpath,True,True,True
53,24.0,hsac-fitnesse-fixtures,NumberedListConverter,nl.hsac.fitnesse.slim.converter.numberedlistconvertertest.testtostringfilled,False,False,False
33,24.0,hsac-fitnesse-fixtures,SecretMasker,nl.hsac.fitnesse.fixture.util.secretmaskertest.testtoplevel,False,False,False
42,24.0,hsac-fitnesse-fixtures,XPathHelper,nl.hsac.fitnesse.fixture.util.xpathhelpertest.testallxmlnotext,True,True,True
43,24.0,hsac-fitnesse-fixtures,XPathHelper,nl.hsac.fitnesse.fixture.util.xpathhelpertest.testallxmlwithtext,True,False,True
49,24.0,hsac-fitnesse-fixtures,LocalSeleniumDriverFactoryFactory,nl.hsac.fitnesse.junit.selenium.localseleniumdriverfactoryfactorytest.testwithspace,False,False,False
52,24.0,hsac-fitnesse-fixtures,NumberedListConverter,nl.hsac.fitnesse.slim.converter.numberedlistconvertertest.testtostringempty,False,False,False
3,24.0,hsac-fitnesse-fixtures,FileFixture,nl.hsac.fitnesse.fixture.slim.filefixturetest.testgetandsetdirectoryrelative,True,True,True
8,24.0,hsac-fitnesse-fixtures,StringFixture,nl.hsac.fitnesse.fixture.slim.stringfixturetest.testconverttodouble,False,False,False
28,24.0,hsac-fitnesse-fixtures,NamespaceContextImpl,nl.hsac.fitnesse.fixture.util.namespacecontextimpltest.addduplicateprefixnullurifirst,False,False,False
30,24.0,hsac-fitnesse-fixtures,RandomUtil,nl.hsac.fitnesse.fixture.util.randomutiltest.testlowercasestring,False,False,False
34,24.0,hsac-fitnesse-fixtures,XPathBy,nl.hsac.fitnesse.fixture.util.selenium.by.xpathbytest.testnormalizedtext,False,False,False
9,24.0,hsac-fitnesse-fixtures,StringFixture,nl.hsac.fitnesse.fixture.slim.stringfixturetest.testconverttoint,False,False,False
13,24.0,hsac-fitnesse-fixtures,CalendarUtil,nl.hsac.fitnesse.fixture.util.calendarutiltest.testaddmonthsintosummertime,False,False,False
16,24.0,hsac-fitnesse-fixtures,CalendarUtil,nl.hsac.fitnesse.fixture.util.calendarutiltest.testbuildxmlgregoriancalendardatefornull,False,False,False
39,24.0,hsac-fitnesse-fixtures,XmlHttpResponse,nl.hsac.fitnesse.fixture.util.xmlhttpresponsetest.testcheckxpathsincorrect,True,False,False
46,24.0,hsac-fitnesse-fixtures,XPathHelper,nl.hsac.fitnesse.fixture.util.xpathhelpertest.testxpathwithnamespace,True,True,True
11,24.0,hsac-fitnesse-fixtures,StringFixture,nl.hsac.fitnesse.fixture.slim.stringfixturetest.testreplaceallwithregexin,False,False,False
21,24.0,hsac-fitnesse-fixtures,HttpResponse,nl.hsac.fitnesse.fixture.util.httpresponsetest.testparselalresponse,True,True,False
22,24.0,hsac-fitnesse-fixtures,HttpResponse,nl.hsac.fitnesse.fixture.util.httpresponsetest.testvalidresponseok,True,False,False
36,24.0,hsac-fitnesse-fixtures,ThrowingFunction,nl.hsac.fitnesse.fixture.util.throwingfunctiontest.testnothrow,False,False,False
48,24.0,hsac-fitnesse-fixtures,LocalSeleniumDriverFactoryFactory,nl.hsac.fitnesse.junit.selenium.localseleniumdriverfactoryfactorytest.testsupportnull,False,False,False
0,24.0,hsac-fitnesse-fixtures,ReportXmlFixture,nl.hsac.fitnesse.fixture.leanapps.reportxmlfixturetest.testreporttrigger,True,True,False
20,24.0,hsac-fitnesse-fixtures,HtmlCleaner,nl.hsac.fitnesse.fixture.util.htmlcleanertest.testcleanupvaluemailaddress,False,False,False
29,24.0,hsac-fitnesse-fixtures,NamespaceContextImpl,nl.hsac.fitnesse.fixture.util.namespacecontextimpltest.addduplicateprefixotheruri,False,False,False
40,24.0,hsac-fitnesse-fixtures,XMLValidator,nl.hsac.fitnesse.fixture.util.xmlvalidatortest.testrootnotclosed,False,False,False
47,24.0,hsac-fitnesse-fixtures,ReportFinder,nl.hsac.fitnesse.junit.reportmerge.reportfindertest.testfindtestresultpages,False,False,False
1,24.0,hsac-fitnesse-fixtures,CompareFixture,nl.hsac.fitnesse.fixture.slim.comparefixturetest.testshowdifferencespreformat,False,False,False
5,24.0,hsac-fitnesse-fixtures,MapFixture,nl.hsac.fitnesse.fixture.slim.mapfixturetest.nestednamedbydefault,False,False,False
18,24.0,hsac-fitnesse-fixtures,CalendarUtil,nl.hsac.fitnesse.fixture.util.calendarutiltest.testsubstractyears,False,False,False
38,24.0,hsac-fitnesse-fixtures,XMLFormatter,nl.hsac.fitnesse.fixture.util.xmlformattertest.testtrimelements,True,True,True
50,24.0,hsac-fitnesse-fixtures,LocalSeleniumDriverFactoryFactory,nl.hsac.fitnesse.junit.selenium.localseleniumdriverfactoryfactorytest.testwithspaceandquotes,False,False,False
